Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 105260, 39230, 159294, 42646, 46354, 39823, 36394
2, 1, 158873, 36988, 180198, 42458, 52616, 46990, 39826
3, 1, 150578, 41946, 222876, 44919, 55941, 45628, 40211
4, 1, 140734, 38025, 175532, 42108, 54960, 46054, 39817
1, 2, 85570, 22740, 137579, 27075, 30650, 24216, 21011
2, 2, 138852, 21245, 158896, 27652, 37635, 31590, 23960
3, 2, 130171, 25917, 197066, 29295, 40018, 29906, 24560
4, 2, 119411, 22123, 153614, 26706, 40126, 30353, 24120
1, 4, 74409, 15057, 131226, 19765, 24118, 16749, 12971
2, 4, 126669, 13201, 147130, 19999, 30439, 23597, 16032
3, 4, 118083, 18371, 183518, 21447, 32181, 22150, 16733
4, 4, 109247, 14338, 143021, 18494, 32262, 22529, 16187
